time_s,source,accepted,diversity_score,objective,pool_best_obj
2.08435,worker_1,0,0.038961,32551.2,26224.2
2.09631,worker_1,0,0.0545455,32548.8,26224.2
2.10395,hgs_child,1,0.122078,26119,26224.2
2.1085,worker_1,0,0.0649351,32545.7,26119
2.12077,worker_1,0,0.0675325,32526.8,26119
2.13255,worker_1,0,0.0805195,32524.6,26119
2.17513,worker_0,1,0.103896,32553.7,26119
2.20451,hgs_child,1,0.771429,40960.5,26119
2.25253,worker_2,0,0.0597403,36268.1,26119
2.30509,hgs_child,1,0.766234,42842.6,26119
2.31751,worker_1,0,0.0909091,32524.4,26119
2.33014,worker_1,0,0.0987013,32503.5,26119
2.34198,worker_1,1,0.101299,32484.8,26119
2.35296,worker_1,0,0.0103896,32461.2,26119
2.3646,worker_1,0,0.0233766,32450.2,26119
2.37492,worker_0,1,0.111688,32052.2,26119
2.37637,worker_1,0,0.038961,32417.2,26119
2.38874,worker_1,0,0.0441558,32412,26119
2.40084,worker_1,0,0.0571429,32411.4,26119
2.40573,hgs_child,1,0.74026,43263.2,26119
2.41281,worker_1,0,0.0675325,32408.1,26119
2.42462,worker_1,0,0.0649351,32402.5,26119
2.43634,worker_1,0,0.0597403,32400.5,26119
2.44812,worker_1,0,0.0623377,32398.6,26119
2.45953,worker_2,0,0.0675325,36203.2,26119
2.50637,hgs_child,1,0.703896,39897.9,26119
2.60697,hgs_child,1,0.231169,32093,26119
2.66561,worker_2,0,0.0779221,36158.2,26119
2.66699,worker_0,1,0.475325,31720.8,26119
2.70772,hgs_child,1,0.72987,41391.4,26119
2.76141,worker_0,1,0.14026,31606.6,26119
2.80853,hgs_child,1,0.784416,40517,26119
2.87567,worker_2,0,0.0831169,36136.5,26119
2.87717,worker_1,1,0.111688,32390.4,26119
2.88857,worker_1,0,0.0155844,32388,26119
2.9003,worker_1,0,0.025974,32387.1,26119
2.90936,hgs_child,1,0.664935,40584.5,26119
2.91257,worker_1,0,0.025974,32375.4,26119
2.91365,worker_0,1,0.122078,31506.8,26119
2.92414,worker_1,0,0.0363636,32370.4,26119
2.93632,worker_1,0,0.0441558,32363.6,26119
2.93753,worker_0,1,0.153247,31461.3,26119
2.95216,worker_0,0,0.0701299,31420.8,26119
3.01029,hgs_child,1,0.709091,38203.7,26119
3.02082,worker_1,0,0.0545455,32361.8,26119
3.03242,worker_1,0,0.0597403,32358.2,26119
3.04418,worker_1,0,0.0675325,32355.8,26119
3.05708,worker_1,0,0.0779221,32355.3,26119
3.06926,worker_1,0,0.0753247,32354.4,26119
3.08796,worker_2,0,0.0935065,36116.5,26119
3.11125,hgs_child,1,0.680519,39624.8,26119
3.1529,worker_0,1,0.150649,31267.2,26119
3.18248,worker_0,0,0.0909091,31160.8,26119
3.20704,worker_0,1,0.181818,31085.9,26119
3.21218,hgs_child,1,0.207792,31955.1,26119
3.26565,worker_0,1,0.101299,30959.5,26119
3.28229,worker_1,1,0.135065,32241.9,26119
3.29382,worker_2,1,0.153247,36090.5,26119
3.2939,worker_1,0,0.00779221,32165.2,26119
3.30561,worker_1,0,0.0155844,31787.7,26119
3.31319,hgs_child,1,0.72987,42541.2,26119
3.31711,worker_1,0,0.025974,31769.1,26119
3.32876,worker_1,0,0.038961,31752.7,26119
3.34192,worker_1,0,0.0519481,31737.3,26119
3.3536,worker_1,0,0.0649351,31728.3,26119
3.36485,worker_1,0,0.0623377,31704.7,26119
3.37637,worker_1,0,0.0701299,31699.8,26119
3.38795,worker_1,0,0.0727273,31694.2,26119
3.39316,worker_0,1,0.267532,30795.4,26119
3.40132,worker_1,0,0.0831169,31689.6,26119
3.413,worker_1,0,0.0805195,31684.8,26119
3.41416,hgs_child,1,0.506494,39377.4,26119
3.42287,worker_0,0,0.0805195,30792.3,26119
3.42461,worker_1,0,0.0935065,31684.2,26119
3.43677,worker_1,1,0.103896,31684,26119
3.4382,worker_0,1,0.192208,30764.5,26119
3.44853,worker_1,0,0.012987,31678.4,26119
3.46051,worker_1,0,0.0207792,31677.9,26119
3.47255,worker_1,0,0.0285714,31677.2,26119
3.47718,worker_0,0,0.0831169,30720.1,26119
3.50113,worker_2,0,0.00779221,36068,26119
3.51513,hgs_child,1,0.246753,33381.7,26119
3.51595,worker_1,0,0.0441558,26099.2,26119
3.52537,worker_1,0,0.0467532,26055.5,26119
3.53497,worker_1,0,0.0597403,26041.9,26119
3.5372,worker_0,1,0.215584,30676.8,26119
3.54515,worker_1,0,0.0701299,26039,26119
3.55339,worker_0,0,0.0883117,30664.5,26119
3.55533,worker_1,0,0.0753247,26037.7,26119
3.56238,worker_0,1,0.12987,30585.7,26119
3.56479,worker_1,0,0.0805195,26035.9,26119
3.57482,worker_1,0,0.0831169,26033.9,26119
3.57859,worker_0,0,0.0545455,30528.7,26119
3.58459,worker_1,0,0.0779221,26032.7,26119
3.61124,worker_0,1,0.171429,30442.5,26119
3.61614,hgs_child,1,0.381818,37261.2,26119
3.61891,worker_0,0,0.0857143,30426.5,26119
3.65628,worker_0,1,0.124675,30407,26119
3.70653,worker_2,0,0.0155844,36051.9,26119
3.79668,worker_1,0,0.0909091,26023,26119
3.81732,hgs_child,1,0.496104,35596.3,26119
3.89989,worker_0,1,0.288312,30401.6,26119
3.91094,worker_2,0,0.0233766,36038,26119
3.94573,worker_0,1,0.122078,30385.9,26119
3.97833,worker_1,0,0.0987013,26018.8,26119
4.01848,hgs_child,1,0.527273,42769.6,26119
4.03449,worker_1,1,0.103896,26011.1,26119
4.1195,hgs_child,1,0.602597,39950.8,26011.1
4.12075,worker_2,1,0.122078,36023.7,26011.1
4.22054,hgs_child,1,0.384416,35596.1,26011.1
4.26298,worker_0,1,0.327273,30385.4,26011.1
4.3006,worker_0,0,0.0675325,30350.8,26011.1
4.32202,hgs_child,1,0.366234,38152.6,26011.1
4.32532,worker_2,1,0.119481,36013.1,26011.1
4.34205,worker_0,1,0.119481,30347.4,26011.1
4.37987,worker_0,1,0.205195,30102.7,26011.1
4.42313,hgs_child,1,0.675325,36943.4,26011.1
4.48317,worker_0,0,0.0597403,30057.2,26011.1
4.52436,hgs_child,1,0.519481,31094.3,26011.1
4.53358,worker_2,1,0.111688,35988.1,26011.1
4.63163,worker_0,0,0.0935065,29979.5,26011.1
4.6557,worker_0,1,0.181818,29937.5,26011.1
4.67692,worker_0,0,0.0701299,29924.9,26011.1
4.72551,hgs_child,1,0.802597,41019.1,26011.1
4.73511,worker_2,1,0.119481,35972.8,26011.1
4.80229,worker_0,1,0.27013,29807.6,26011.1
4.82647,hgs_child,1,0.314286,38015.8,26011.1
4.88601,worker_0,1,0.176623,29785.9,26011.1
4.925,worker_0,0,0.0961039,29726.5,26011.1
4.92753,hgs_child,1,0.766234,44060.4,26011.1
4.94376,worker_2,1,0.111688,35966.4,26011.1
4.97233,worker_0,1,0.272727,29722.5,26011.1
4.97976,worker_0,0,0.0441558,29664.4,26011.1
5.02848,hgs_child,1,0.202597,30767.2,26011.1
5.04177,worker_0,1,0.142857,29578.8,26011.1
5.05061,worker_2,1,0.111688,35961.3,26011.1
5.12953,hgs_child,1,0.742857,41047,26011.1
5.23054,hgs_child,1,0.41039,35573.3,26011.1
5.33166,hgs_child,1,0.363636,38974,26011.1
5.43263,hgs_child,1,0.233766,31028.5,26011.1
5.5337,hgs_child,1,0.750649,39885.2,26011.1
5.6348,hgs_child,1,0.475325,32463.2,26011.1
5.73586,hgs_child,1,0.327273,31485.4,26011.1
5.83692,hgs_child,1,0.483117,39590.4,26011.1
5.93807,hgs_child,1,0.25974,31218.5,26011.1
6.03907,hgs_child,1,0.288312,34071.8,26011.1
6.14042,hgs_child,1,0.309091,33111.2,26011.1
6.24137,hgs_child,1,0.27013,37029.3,26011.1
6.34234,hgs_child,1,0.163636,29780.5,26011.1
6.44336,hgs_child,1,0.275325,32370.7,26011.1
6.5445,hgs_child,1,0.58961,36856.6,26011.1
6.64559,hgs_child,1,0.753247,37770.4,26011.1
6.66027,worker_0,1,0.732468,29548.1,26011.1
6.68322,worker_0,0,0.0727273,29415.5,26011.1
6.74659,hgs_child,1,0.358442,32752.6,26011.1
6.78597,worker_0,1,0.290909,29160.6,26011.1
6.84224,worker_0,0,0.0675325,29140.2,26011.1
6.84756,hgs_child,1,0.277922,29774.8,26011.1
6.90124,worker_0,1,0.181818,29110,26011.1
6.94927,hgs_child,1,0.477922,38164.5,26011.1
7.02462,worker_0,1,0.142857,29107.1,26011.1
