time_s,dist_W0_W1,dist_W0_W2,dist_W1_W2
36.772,0.732468,0.854545,0.836364
36.7854,0.727273,0.854545,0.836364
36.7937,0.732468,0.857143,0.836364
36.965,0.732468,0.857143,0.836364
37.0508,0.727273,0.849351,0.836364
37.0576,0.722078,0.841558,0.836364
37.1641,0.748052,0.833766,0.836364
37.1711,0.748052,0.831169,0.836364
37.177,0.748052,0.831169,0.831169
37.3873,0.748052,0.825974,0.831169
37.596,0.748052,0.825974,0.828571
37.8743,0.748052,0.825974,0.828571
38.0823,0.748052,0.825974,0.831169
38.2941,0.748052,0.825974,0.833766
38.501,0.748052,0.820779,0.836364
38.7143,0.748052,0.818182,0.836364
38.9256,0.748052,0.815584,0.838961
39.1422,0.748052,0.812987,0.838961
39.3488,0.748052,0.815584,0.838961
39.5581,0.748052,0.815584,0.838961
39.7676,0.748052,0.815584,0.836364
39.9777,0.748052,0.807792,0.825974
40.06,0.748052,0.807792,0.825974
40.1257,0.735065,0.805195,0.825974
40.2357,0.724675,0.807792,0.825974
40.2429,0.722078,0.81039,0.825974
40.2786,0.711688,0.812987,0.825974
40.8634,0.716883,0.828571,0.825974
40.9166,0.727273,0.823377,0.825974
40.9248,0.719481,0.820779,0.825974
41.2073,0.719481,0.844156,0.825974
41.2466,0.719481,0.844156,0.825974
41.2618,0.716883,0.844156,0.825974
41.3304,0.716883,0.846753,0.828571
41.5368,0.716883,0.846753,0.825974
41.7452,0.716883,0.846753,0.828571
41.9534,0.716883,0.846753,0.828571
41.9906,0.719481,0.846753,0.828571
41.9996,0.719481,0.846753,0.825974
42.0224,0.719481,0.846753,0.831169
42.1633,0.719481,0.846753,0.831169
42.4321,0.719481,0.844156,0.828571
42.6379,0.719481,0.846753,0.828571
42.8444,0.719481,0.846753,0.828571
42.9885,0.722078,0.802597,0.828571
42.996,0.724675,0.802597,0.828571
43.0515,0.724675,0.802597,0.828571
43.2583,0.724675,0.802597,0.828571
43.3027,0.703896,0.833766,0.828571
43.3183,0.701299,0.831169,0.828571
43.3255,0.701299,0.831169,0.828571
43.3343,0.706494,0.831169,0.828571
43.3512,0.706494,0.831169,0.828571
43.3799,0.709091,0.831169,0.828571
43.4315,0.703896,0.828571,0.828571
43.4636,0.703896,0.828571,0.828571
43.6678,0.703896,0.828571,0.828571
43.8186,0.724675,0.844156,0.828571
43.8438,0.719481,0.841558,0.828571
43.8509,0.716883,0.841558,0.828571
43.8733,0.716883,0.838961,0.831169
43.9993,0.711688,0.836364,0.831169
44.0191,0.714286,0.836364,0.828571
44.09,0.714286,0.836364,0.828571
44.1092,0.714286,0.836364,0.831169
44.3037,0.714286,0.838961,0.831169
44.3294,0.67013,0.838961,0.815584
44.5171,0.67013,0.838961,0.815584
44.7258,0.67013,0.838961,0.815584
44.9337,0.67013,0.838961,0.815584
45.0605,0.67013,0.831169,0.812987
45.1437,0.672727,0.828571,0.812987
45.1601,0.664935,0.831169,0.812987
45.2388,0.662338,0.833766,0.812987
45.2781,0.662338,0.833766,0.81039
45.4947,0.662338,0.833766,0.807792
45.6999,0.662338,0.831169,0.805195
45.9035,0.662338,0.833766,0.807792
46.1059,0.662338,0.828571,0.81039
46.3135,0.662338,0.828571,0.81039
46.5198,0.662338,0.828571,0.81039
46.551,0.680519,0.828571,0.812987
46.5617,0.680519,0.828571,0.815584
46.5725,0.683117,0.828571,0.818182
46.5987,0.683117,0.828571,0.820779
46.6157,0.677922,0.828571,0.820779
46.6259,0.672727,0.828571,0.812987
46.6521,0.672727,0.828571,0.815584
46.7291,0.672727,0.828571,0.815584
46.76,0.675325,0.828571,0.838961
46.9105,0.677922,0.828571,0.841558
46.9362,0.677922,0.828571,0.844156
47.1454,0.677922,0.828571,0.844156
47.3521,0.677922,0.825974,0.846753
47.564,0.677922,0.823377,0.849351
47.773,0.677922,0.820779,0.846753
47.988,0.677922,0.818182,0.844156
48.2035,0.677922,0.815584,0.844156
48.4164,0.677922,0.818182,0.844156
48.6057,0.677922,0.818182,0.844156
48.6296,0.677922,0.820779,0.844156
48.8395,0.677922,0.823377,0.844156
49.0523,0.677922,0.825974,0.841558
49.2647,0.677922,0.825974,0.841558
49.4742,0.677922,0.825974,0.838961
49.6846,0.677922,0.828571,0.836364
49.893,0.677922,0.828571,0.833766
50.0613,0.677922,0.831169,0.831169
50.7153,0.677922,0.833766,0.833766
50.9266,0.677922,0.833766,0.831169
51.1401,0.677922,0.833766,0.831169
51.3488,0.677922,0.836364,0.831169
51.5584,0.677922,0.844156,0.828571
51.7412,0.675325,0.844156,0.823377
51.7679,0.675325,0.844156,0.828571
51.9763,0.675325,0.844156,0.828571
52.1449,0.683117,0.844156,0.823377
52.1555,0.680519,0.844156,0.825974
52.1892,0.680519,0.844156,0.823377
52.3979,0.680519,0.844156,0.820779
52.6069,0.680519,0.844156,0.815584
52.817,0.680519,0.841558,0.818182
53.0284,0.680519,0.841558,0.818182
53.2389,0.680519,0.838961,0.815584
53.4487,0.680519,0.838961,0.820779
53.6583,0.680519,0.838961,0.818182
53.8175,0.683117,0.838961,0.818182
53.8278,0.690909,0.838961,0.818182
53.8376,0.693506,0.838961,0.812987
53.8494,0.696104,0.838961,0.815584
53.8768,0.696104,0.841558,0.818182
54.0106,0.701299,0.841558,0.823377
54.0856,0.701299,0.841558,0.823377
54.2972,0.701299,0.841558,0.823377
54.5068,0.701299,0.844156,0.825974
54.7178,0.701299,0.844156,0.825974
54.7931,0.703896,0.844156,0.823377
54.9287,0.703896,0.844156,0.820779
55.0619,0.703896,0.841558,0.818182
55.21,0.711688,0.838961,0.818182
55.2779,0.711688,0.841558,0.820779
55.4915,0.711688,0.838961,0.820779
55.7001,0.711688,0.838961,0.823377
55.9104,0.711688,0.838961,0.823377
56.1179,0.711688,0.836364,0.823377
56.3278,0.711688,0.836364,0.825974
56.8112,0.711688,0.833766,0.823377
57.8616,0.711688,0.833766,0.820779
58.0676,0.711688,0.836364,0.823377
58.2761,0.711688,0.836364,0.823377
58.4809,0.711688,0.836364,0.820779
58.6935,0.711688,0.836364,0.823377
58.905,0.711688,0.836364,0.823377
59.0503,0.714286,0.836364,0.820779
59.1155,0.714286,0.836364,0.820779
59.3449,0.714286,0.836364,0.823377
59.5646,0.714286,0.833766,0.823377
59.774,0.714286,0.836364,0.823377
59.9799,0.714286,0.836364,0.823377
60.1882,0.714286,0.833766,0.823377
60.3948,0.714286,0.831169,0.820779
60.6048,0.714286,0.831169,0.818182
60.6149,0.711688,0.831169,0.820779
60.7977,0.244156,0.831169,0.841558
60.8077,0.231169,0.831169,0.844156
60.8116,0.231169,0.833766,0.846753
60.9929,0.236364,0.833766,0.846753
61.0196,0.236364,0.833766,0.846753
61.0549,0.244156,0.833766,0.846753
61.227,0.244156,0.833766,0.846753
61.5329,0.244156,0.838961,0.851948
61.7475,0.244156,0.836364,0.849351
61.9639,0.244156,0.836364,0.849351
62.1822,0.244156,0.836364,0.849351
62.2286,0.244156,0.836364,0.851948
62.451,0.244156,0.833766,0.846753
62.6593,0.244156,0.833766,0.846753
62.8666,0.244156,0.831169,0.846753
63.1353,0.244156,0.831169,0.846753
63.3622,0.244156,0.831169,0.846753
63.5696,0.244156,0.833766,0.849351
63.7789,0.244156,0.836364,0.851948
63.8425,0.236364,0.836364,0.851948
63.9881,0.236364,0.836364,0.851948
64.1939,0.236364,0.836364,0.851948
64.3298,0.241558,0.836364,0.849351
